Artist ID,Name,Nationality,Birth Year,Work Count
401,Ed Baynard,American,1940.0,2
402,Thomas Bayrle,German,1937.0,13
403,Douglas Baz,American,1943.0,2
404,Jean Bazaine,French,1904.0,1
405,Castera Bazile,Haitian,1923.0,1
406,William Baziotes,American,1912.0,4
407,Gifford Beal,American,1879.0,3
408,Jack Beal,American,1931.0,6
409,Lester Beall,American,1903.0,14
411,Mark Beard,American,1956.0,17
412,Romare Bearden,American,1911.0,21
413,Aubrey Beardsley,British,1872.0,3
414,Bruce Beasley,American,1939.0,1
415,Beath,British,1913.0,1
416,Felice Beato,Italian,1825.0,93
417,Cecil Beaton,British,1904.0,4
418,Leslie Beaton,American,,2
419,Robert Beauchamp,American,1923.0,1
420,André Beaudin,French,1895.0,27
421,Alessandro Becchi,Italian,1946.0,1
422,Bernd Becher,German,1931.0,17
423,Thelma Becherer,American,1916.0,1
424,Robert Bechtle,American,1932.0,8
425,Gustav K. Beck,Austrian,1902.0,1
426,A. Becker,German,,1
427,Fred Becker,American,1913.0,2
428,Bill Beckley,American,1946.0,19
429,Max Beckmann,German,1884.0,221
430,Francis Bedford,British,1816.0,28
431,René Beeh,German,1886.0,8
432,Jan Bontjes van Beek,German,1899.0,1
433,Chris Hendrik Beekman,Dutch,1887.0,3
434,Max Beerbohm,British,1872.0,1
436,Hedda Beese,German,1944.0,1
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,1866.0,5
438,Peter Behrens,German,1868.0,12
439,Edith Behring,Brazilian,1916.0,1
440,John Behringer,American,1939.0,1
441,J. J. Beljon,Dutch,1922.0,1
442,Alistair Macready Bell,Canadian,1913.0,2
443,Charles M. Bell,American,1848.0,1
444,Larry Bell,American,1939.0,9
445,Vanessa Bell,British,1879.0,4
446,William H. Bell,American,1830.0,17
447,Ross Bellah,American,1907.0,1
448,Joseph Bellanca,American,1930.0,3
449,John Bellany,British,1942.0,19
450,Rudolf Belling,German,1886.0,3
451,Mario Bellini,Italian,1935.0,26
452,Hans Bellmer,German,1902.0,60
453,Ernest J. Bellocq,American,1873.0,51
455,George Bellows,American,1882.0,10
456,Rossella Bellusci,Italian,1947.0,1
457,Giandomenico Belotti,Italian,1922.0,2
458,Christian Belpaire,Congolese,1949.0,2
459,Antoli Pawlowitsch Belski,Russian,1896.0,2
461,David Ben Shaul,Israeli,,1
462,Ahron Ben-Shmuel,American,1903.0,1
463,Ben-Zion,American,1897.0,21
464,Adolf Benca,American,1959.0,2
465,W. T. Benda,American,1873.0,2
466,C. Whitney Bender,American,1929.0,1
467,Niels Sylvester Bendtsen,Danish,1943.0,1
468,Nair Benedicto,Brazilian,1940.0,2
469,Luis Fernando Benedit,Argentine,1937.0,28
470,G. A. Beneker,American,1882.0,1
471,Lynda Benglis,American,1941.0,17
472,Billy Al Bengston,American,1934.0,55
473,Jim Bengston,American,1942.0,7
474,Anthony Benjamin,British,,2
475,Gordon Bennett,American,1933.0,2
476,Henry Hamilton Bennett,American,1843.0,13
478,Ward Bennett,American,1917.0,15
479,Alexander Benois,Russian,1870.0,2
481,David Bentley,American,1938.0,1
482,Nicholas Bentley,British,1907.0,2
483,Thomas Hart Benton,American,1889.0,8
484,Roloff Beny,Canadian,1924.0,23
485,Etienne (Istvan) Béothy,Hungarian,1897.0,1
486,Christian Bérard,French,1902.0,5
487,Roberto Berdecio,Bolivian,1913.0,1
488,Vera Berdich,American,1915.0,1
489,Ed Bereal,American,1937.0,2
490,Stephen Lynn Berens,American,1952.0,1
491,Berger (?),British,1938.0,2
492,Charles Berger,American,1943.0,1
493,Jason Berger,American,1924.0,1
495,Hagbard Elis Bergh,Swedish,1881.0,2
496,Håkan Bergkvist,Swedish,1946.0,3
497,Ella Bergmann-Michel,German,1896.0,1
498,Paul Bergtold,Nationality unknown,,2
501,Henryk Berlewi,Polish,1894.0,7
502,Eugene Berman,American,1899.0,102
503,Mieczyslaw Berman,Polish,1903.0,2
504,Sarah Berman,American,1895.0,1
505,Wallace Berman,American,1926.0,8
506,Zeke Berman,American,1951.0,20
507,Cundo Bermúdez,Cuban,1914.0,2
508,José Ygnacio Bermudez,Cuban,1922.0,3
509,Thoni Bern,Swiss,,1
510,Camille Bernabé,French,1808.0,4
511,Émile Bernard,French,1868.0,631
512,Francis Bernard,French,1900.0,1
513,Valère Bernard,French,1860.0,2
514,Jerry Berndt,American,1943.0,1
515,Lucian Bernhard,American,1883.0,11
516,Ruth Bernhard,American,1905.0,3
517,Antonio Berni,Argentine,1905.0,10
518,Janez Bernik,Yugoslav,1933.0,3
519,Judith Bernstein,American,1942.0,2
520,Richard Bernstein,American,1939.0,1
521,Jean Berque,French,1896.0,3
522,Miguel Ortiz Berrocal,Spanish,1933.0,2
523,Bertall & Cie.,French,,2
524,M. Berthaud,French,,2
525,Palme Berthold,,,1
526,Berthold-Mahn (Charles Désiré),French,1893.0,3
527,René Bertholo,Portuguese,1935.0,9
528,Paul Berthon,French,1872.0,2
529,Jake Berthot,American,1939.0,35
530,Gianni Bertini,Italian,1922.0,2
531,Harry Bertoia,American,1915.0,7
532,Emilio Bertonati,Italian,,11
533,Albert Besnard,French,1849.0,1
534,Forrest Bess,American,1911.0,2
535,Ruth Bessoudo Courvoisier,Brazilian,,3
536,Alan Randall Best,Canadian,1958.0,2
537,William Betsch,American,,2
538,Pierre Betz,French,1899.0,4
539,Wim Beuning,Dutch,1914.0,1
540,Joseph Beuys,German,1921.0,107
541,Art Bevacqua,Nationality unknown,,1
542,Thomas Bewick,British,1753.0,324
544,Jyoti Bhatt,Indian,1934.0,2
545,Domenico Bianchi,Italian,1955.0,2
546,Pamela Bianco,American,1906.0,1
547,Fulvio Bianconi,Italian,1915.0,5
548,Carl Bianga,German,,1
549,Alberto Biasi,Italian,1937.0,2
550,Guido Biasi,Italian,1933.0,2
551,Ashley Bickerton,British,1959.0,2
553,George Biddle,American,1885.0,5
554,Charles Biederman,American,1906.0,2
555,James Biederman,American,1947.0,3
556,Aenne Biermann,German,1898.0,8
557,Wilson Bigaud,Haitian,1931.0,2
559,Max Bill,Swiss,1908.0,40
560,Joseph Binder,American,1898.0,7
561,Ilse Bing,American,1899.0,101
562,Robert J. Bingham,British,1824.0,4
563,Manfred Bingler,Swiss,1928.0,3
564,Peter Birkhauser,Swiss,1911.0,3
565,Robert Birmelin,American,1933.0,9
566,Werner Bischof,Swiss,1916.0,6
567,Elmer Bischoff,American,1916.0,1
568,Isabel Bishop,American,1902.0,10
569,James Bishop,American,1927.0,3
570,Michael Bishop,American,1946.0,1
571,Maureen Bisilliat,American,1931.0,1
572,Antonio Bisquert Pérez,Spanish,1906.0,1
573,Julius Bissier,German,1893.0,8
574,Roger Bissière,French,1888.0,2
575,George Bissill,British,1896.0,2
576,Auguste Rosalie Bisson,French,1826.0,21
577,Louis-Auguste Bisson,French,1814.0,21
578,Arnold Bittleman,American,1933.0,3
579,Dolores Dembus Bittleman,American,1931.0,1
580,Ion Bitzan,Romanian,1924.0,2
581,Judith Black,American,1945.0,2
582,James Wallace Black,American,1825.0,3
583,Roman Black,Nationality unknown,,1
584,Wendell Black,American,1919.0,5
585,Elizabeth Blackadder,British,1931.0,2
586,Morris Blackburn,American,1902.0,3
587,Tom Blackwell,American,1938.0,2
588,Ronald Bladen,American,1918.0,10
589,Nell Blaine,American,1922.0,15
590,Jean-Charles Blais,French,1956.0,5
591,Jeffrey Blake,American,1954.0,1
592,Peter Blake,British,1932.0,24
594,Werner Blaser,Swiss,1924.0,2
595,Edwin Howland Blashfield,American,1848.0,1
596,Arbit Blatas,American,1908.0,1
597,Ross Bleckner,American,1949.0,5
599,René Bleibtreu,French,1920.0,2
601,Blessum,Nationality unknown,,1
602,André Bloc,Nationality unknown,1896.0,1
603,Albert Bloch,American,1882.0,1
604,Julius Thiengen Bloch,American,1888.0,4
605,Pierrette Bloch,French,1928.0,3
606,Clarence Lincoln Block,Nationality unknown,,1
607,Gay Block,American,1942.0,37
608,Barbara Bloom,American,1951.0,15
609,Hyman Bloom,American,1913.0,3
610,Vern Blosum,American,1936.0,1
611,Sandra Blow,British,1925.0,1
612,Oscar Bluemner,American,1867.0,2
613,Norman Bluhm,American,1920.0,8
614,Donald Blumberg,American,1935.0,1
615,Anna Blume,German,1937.0,5
616,Bernhard Blume,German,1937.0,6
617,Peter Blume,American,1906.0,18
618,Erwin Blumenfeld,German,1897.0,3
622,Instituto Lina Bo e Pietro Maria Bardi,Brazilian,1914.0,1
623,Marcello Boccacci,Italian,1914.0,1
624,Umberto Boccioni,Italian,1882.0,20
625,Mel Bochner,American,1940.0,61
626,Bengt Böckman,Swedish,1936.0,2
627,Peter Bodner,Nationality unknown,,2
630,Alighiero Boetti,Italian,1940.0,283
631,Marinus Boezem,Dutch,1934.0,6
632,Ricardo Bofill,Spanish,1939.0,17
633,Arthur Emil Bofinger,Swiss,1909.0,1
634,Jóhanna Boga,Icelandic,,2
635,Varujan Boghosian,American,1926.0,18
636,Theodor Bogler,German,1897.0,3
637,Alexander Bogomazov,Russian,1880.0,6
638,Blythe Bohnen,American,1940.0,3
639,Olaf von Bohr,Austrian,1927.0,1
640,Karl Bohrmann,German,1928.0,34
641,Bruce Boice,American,1941.0,1
