,Source,Target,Weight,Title
291,8131,7661,20,"Cemetery of San Cataldo, Modena, Italy, Aerial perspective"
292,8131,7661,20,"Cemetery of San Cataldo, Modena, Italy, Elevation study"
293,8131,7661,20,"Cemetery of San Cataldo, Modena, Italy, Plan study"
294,8220,5733,54,"The Continuous Monument: On the River, project (Perspective)"
295,5733,8221,54,"The Continuous Monument: On the River, project (Perspective)"
296,5733,8222,54,"The Continuous Monument: On the River, project (Perspective)"
297,5733,8223,54,"The Continuous Monument: On the River, project (Perspective)"
298,8224,5733,54,"The Continuous Monument: On the River, project (Perspective)"
299,8220,8221,54,"The Continuous Monument: On the River, project (Perspective)"
300,8220,8222,54,"The Continuous Monument: On the River, project (Perspective)"
301,8220,8223,54,"The Continuous Monument: On the River, project (Perspective)"
302,8224,8220,54,"The Continuous Monument: On the River, project (Perspective)"
303,8221,8222,54,"The Continuous Monument: On the River, project (Perspective)"
304,8221,8223,54,"The Continuous Monument: On the River, project (Perspective)"
305,8224,8221,54,"The Continuous Monument: On the River, project (Perspective)"
306,8222,8223,54,"The Continuous Monument: On the River, project (Perspective)"
307,8224,8222,54,"The Continuous Monument: On the River, project (Perspective)"
308,8224,8223,54,"The Continuous Monument: On the River, project (Perspective)"
309,8220,5733,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
310,5733,8221,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
311,5733,8222,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
312,5733,8223,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
313,8224,5733,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
314,8220,8221,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
315,8220,8222,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
316,8220,8223,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
317,8224,8220,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
318,8221,8222,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
319,8221,8223,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
320,8224,8221,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
321,8222,8223,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
322,8224,8222,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
323,8224,8223,54,"The Continuous Monument: St. Moritz Revisited, project (Perspective)"
324,8220,5733,54,"The Continuous Monument: On the Rocky Coast, project (Perspective)"
325,5733,8221,54,"The Continuous Monument: On the Rocky Coast, project (Perspective)"
326,5733,8222,54,"The Continuous Monument: On the Rocky Coast, project (Perspective)"
327,5733,8223,54,"The Continuous Monument: On the Rocky Coast, project (Perspective)"
